original,source,use,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,ECAP Goal 13% (2012),Livablity  Goal 20% (2016)
Electricity-COE,Coe,Electricity,17588,16430,16172,15464,15585,13766,11973,11063.0,9805,4035,0,15301,14070
Natural gas-COE,Coe,Natural gas,3975,3624,3323,3515,2326,2915,3706,2751.0,3063,3130,2955,3458,3180
Gasoline-COE,Coe,Gasoline,1321,1378,1445,878,1338,1175,1322,1300.0,1239,1260,1086,1149,1057
Diesel-COE,Coe,Diesel,1398,1393,1538,1395,1563,0,0,,338,304,603,1216,1118
Biodiesel-COE,Coe,Biodiesel,278,278,305,277,158,1395,1660,1523.0,1325,1402,946,242,222
Electricity - Residential,Residential,Electricity,154524,146853,148194,144962,135831,149812,147949,75269.0,49547,39990,45832,134436,123619
Electricity - Commercial,Commercial,Electricity,366025,375318,380325,368634,364908,377846,317352,319145.0,306947,293807,258764,318442,292820
Electricity - Rail,Rail,Electricity,18785,17400,18424,19037,14916,19366,21536,19979.0,22085,21416,13396,16343,15028
Natural Gas - Residential,Residential,Natural gas,114674,116791,119144,127295,118762,114717,120070,120070.0,122458,114322,118433,99767,91739
Natural Gas - Commercial,Commercial,Natural gas,224266,221954,234950,245586,218672,198521,207016,211300.0,221533,185995,217779,195112,179413
Gasoline-Community,Community,Gasoline,99664,97149,116452,111209,121684,133092,119657,109779.0,113014,144267,141773,86708,79731
Diesel-Community,Community,Diesel,25869,25216,30226,28865,31608,37903,34077,27445.0,28253,36066,35443,22506,20695
