,source_id,target_id,strength
0,0.0,8.0,23102.0
1,1.0,9.0,146853.0
2,2.0,10.0,375318.0
3,3.0,11.0,17400.0
4,4.0,12.0,116791.0
5,5.0,13.0,221954.0
6,6.0,14.0,97149.0
7,7.0,15.0,25216.0
8,8.0,16.0,22783.0
9,9.0,17.0,148194.0
10,10.0,18.0,380325.0
11,11.0,19.0,18424.0
12,12.0,20.0,119144.0
13,13.0,21.0,234950.0
14,14.0,22.0,116452.0
15,15.0,23.0,30226.0
16,16.0,24.0,21529.0
17,17.0,25.0,144962.0
18,18.0,26.0,368634.0
19,19.0,27.0,19037.0
20,20.0,28.0,127295.0
21,21.0,29.0,245586.0
22,22.0,30.0,111209.0
23,23.0,31.0,28865.0
24,24.0,32.0,20969.0
25,25.0,33.0,135831.0
26,26.0,34.0,364908.0
27,27.0,35.0,14916.0
28,28.0,36.0,118762.0
29,29.0,37.0,218672.0
30,30.0,38.0,121684.0
31,31.0,39.0,31608.0
32,32.0,40.0,19251.0
33,33.0,41.0,149812.0
34,34.0,42.0,377846.0
35,35.0,43.0,19366.0
36,36.0,44.0,114717.0
37,37.0,45.0,198521.0
38,38.0,46.0,133092.0
39,39.0,47.0,37903.0
40,40.0,48.0,18661.0
41,41.0,49.0,147949.0
42,42.0,50.0,317352.0
43,43.0,51.0,21536.0
44,44.0,52.0,120070.0
45,45.0,53.0,207016.0
46,46.0,54.0,119657.0
47,47.0,55.0,34077.0
48,48.0,56.0,16636.0
49,49.0,57.0,75269.0
50,50.0,58.0,319145.0
51,51.0,59.0,19979.0
52,52.0,60.0,120070.0
53,53.0,61.0,211300.0
54,54.0,62.0,109779.0
55,55.0,63.0,27445.0
56,56.0,64.0,15770.0
57,57.0,65.0,49547.0
58,58.0,66.0,306947.0
59,59.0,67.0,22085.0
60,60.0,68.0,122458.0
61,61.0,69.0,221533.0
62,62.0,70.0,113014.0
63,63.0,71.0,28253.0
64,64.0,72.0,10131.0
65,65.0,73.0,39990.0
66,66.0,74.0,293807.0
67,67.0,75.0,21416.0
68,68.0,76.0,114322.0
69,69.0,77.0,185995.0
70,70.0,78.0,144267.0
71,71.0,79.0,36066.0
72,72.0,80.0,5590.0
73,73.0,81.0,45832.0
74,74.0,82.0,258764.0
75,75.0,83.0,13396.0
76,76.0,84.0,118433.0
77,77.0,85.0,217779.0
78,78.0,86.0,141773.0
79,79.0,87.0,35443.0
